   171 WH J000439.5+020922     1.16455    2.15610  0.7350 19.454 18.066   6.43 0.619  33.70   1.50  22          
   172 WH J000440.5+011142     1.16881    1.19490  1.3289 21.985 18.636   5.74 0.526  27.76   1.25  10          
   173 WH J000442.4+014959     1.17666    1.83308  0.4540 18.793 18.178   6.26 0.562  19.04   0.87  14  WHL     
   174 WH J000443.1+002327     1.17969    0.39079  0.6704 19.497 17.696   9.81 0.844  70.02   3.03  31  WHL     
   175 WH J000443.4+014412     1.18088    1.73654  0.3927 18.733 17.696   7.40 0.558  19.81   0.90  10  WHL     
   176 WH J000443.6-011814     1.18176   -1.30378  0.8445 21.023 17.945   5.40 0.496  20.61   0.94  10          
   177 WH J000444.7+023004     1.18635    2.50104  0.4465 19.393 18.162   6.93 0.577  22.04   1.00  10          
   178 WH J000446.3-000240     1.19299   -0.04446  0.3031 18.530 17.692   7.89 0.708  31.85   1.42  26  WHL     
   179 WH J000449.3+010844     1.20552    1.14548  1.3832 23.616 19.211   6.68 0.522  30.72   1.37  10          
   180 WH J000451.8+014439     1.21581    1.74415  0.2512 17.433 17.397   6.39 0.678  21.66   0.98  16  WHL     
   181 WH J000452.2-001000     1.21736   -0.16676  0.7043 20.469 18.235   6.81 0.568  27.74   1.25  13          
   182 WH J000455.1+003415     1.22951    0.57077  0.3162 17.379 17.105   8.66 0.764  41.87   1.85  27  WHL     
   183 WH J000455.7+005556     1.23215    0.93235  1.2037 22.659 19.377   5.13 0.570  30.68   1.37  13          
   184 WH J000456.1+000926     1.23356    0.15730  0.6106 19.550 18.174   7.52 0.816  60.80   2.65  37  WHL     
   185 WH J000458.7+000526     1.24471    0.09056  0.5740 19.656 18.046   5.87 0.616  26.14   1.18  15  WHL     
   186 WH J000459.3+011232     1.24703    1.20883  0.7768 20.331 18.291  11.67 0.706  44.66   1.97  23          
   187 WH J000459.6+021137     1.24819    2.19363  0.8393 20.690 18.483  11.51 0.741  54.76   2.39  31          
   188 WH J000500.5+014550     1.25190    1.76401  0.8368 20.295 18.023   5.63 0.555  21.48   0.97  11          
   189 WH J000501.5+000711     1.25616    0.11959  1.1683 22.876 19.687   5.01 0.495  24.16   1.09  12          
   190 WH J000506.2+013002     1.27588    1.50053  0.6551 19.652 17.895   6.62 0.641  30.40   1.36  16  WHL     
   191 WH J000509.1+012556     1.28796    1.43217  1.5924 23.956 19.597   5.85 0.412  17.34   0.79   6          
   192 WH J000514.0+001104     1.30837    0.18439  0.7376 20.996 18.595   5.92 0.611  28.35   1.27  16          
   193 WH J000514.3+011640     1.30978    1.27774  1.0588 21.553 18.915   5.82 0.497  24.70   1.11  11          
   194 WH J000514.7+021756     1.31131    2.29877  0.6984 20.085 18.098   9.44 0.696  44.31   1.95  26          
   195 WH J000521.0+022426     1.33742    2.40734  0.5495 18.993 17.766   7.05 0.604  26.75   1.20  12          
   196 WH J000522.0+021710     1.34172    2.28616  0.2844 17.768 17.331   5.15 0.563  15.40   0.71   9          
   197 WH J000522.1+003101     1.34218    0.51690  0.5762 20.006 18.449   6.43 0.716  38.44   1.70  33  WHL     
   198 WH J000525.6+012837     1.35646    1.47700  0.8469 20.892 18.457   5.57 0.666  32.58   1.45  20          
   199 WH J000525.7+010423     1.35701    1.07316  0.8745 21.900 19.197  10.15 0.691  47.47   2.09  31          
   200 WH J000526.4+012415     1.36007    1.40412  1.1292 22.019 18.798   7.25 0.626  40.94   1.81  15          
   201 WH J000527.3+002407     1.36378    0.40195  1.1849 22.596 18.488  12.86 0.722  67.25   2.91  27          
   202 WH J000527.5+011159     1.36467    1.19967  1.2017 22.689 19.411   5.29 0.585  30.68   1.37  13          
   203 WH J000527.6-011916     1.36485   -1.32100  0.7437 19.766 17.688   6.38 0.557  25.53   1.15  13          
   204 WH J000528.6-001230     1.36926   -0.20832  0.6748 19.650 18.184   6.09 0.605  26.17   1.18  17          
   205 WH J000530.9+015134     1.37867    1.85944  0.4262 19.040 17.755   7.44 0.541  21.50   0.98  20  WHL     
   206 WH J000532.3+004520     1.38474    0.75546  1.3597 22.818 18.911   5.60 0.501  26.15   1.18   8          
   207 WH J000534.1+020837     1.39191    2.14363  0.8711 21.874 19.228   5.35 0.610  33.79   1.51  17          
   208 WH J000534.8-000518     1.39499   -0.08837  0.6243 18.845 17.611   5.62 0.701  29.51   1.32  20  WHL     
   209 WH J000537.2+014653     1.40491    1.78139  0.3192 18.135 17.529   6.25 0.651  21.28   0.97  20  WHL     
   210 WH J000543.7+011709     1.43212    1.28587  0.3674 17.201 16.920   7.41 0.813  50.68   2.22  34  WHL     
   211 WH J000544.1+001306     1.43378    0.21844  0.3018 18.041 17.279   6.11 0.607  18.58   0.85  15  WHL     
   212 WH J000546.6+022255     1.44428    2.38208  0.8556 20.530 17.830  10.83 0.699  48.53   2.13  20  WH18    
   213 WH J000548.1+015522     1.45061    1.92290  1.7479 23.946 20.110   7.47 0.420  18.47   0.84   9          
   214 WH J000549.9-003607     1.45789   -0.60208  0.5439 19.129 18.002   6.33 0.664  31.08   1.39  17          
   215 WH J000550.0-012406     1.45844   -1.40177  0.2036 16.208 16.623   5.32 0.731  29.17   1.31  23  WHL     
   216 WH J000551.5+015424     1.46472    1.90653  0.4323 18.785 17.944   5.25 0.568  15.65   0.72  13  WHL     
   217 WH J000551.6+020818     1.46490    2.13823  1.0841 21.640 18.639   7.31 0.607  34.99   1.56  11          
   218 WH J000551.9+002525     1.46610    0.42348  0.6087 19.451 18.009   7.77 0.694  40.53   1.79  23  WHL     
   219 WH J000554.1+015531     1.47532    1.92541  0.8914 21.023 18.236   5.41 0.504  21.21   0.96  10          
   220 WH J000556.7+015317     1.48619    1.88801  0.8267 20.149 17.760   7.90 0.588  32.83   1.46  18          
   221 WH J000556.9+003222     1.48727    0.53942  0.7965 19.939 18.123   9.46 0.656  37.60   1.67  14          
   222 WH J000558.0+023012     1.49152    2.50322  1.4186 23.422 19.288   7.95 0.545  33.77   1.50  11          
   223 WH J000558.5+011923     1.49395    1.32302  1.0186 21.425 18.968   6.03 0.501  23.55   1.06   9          
   224 WH J000601.2+001822     1.50494    0.30621  1.3396 22.836 19.448   7.80 0.562  36.17   1.61  10          
   225 WH J000601.9+013856     1.50804    1.64876  0.8716 20.575 18.773   5.76 0.625  30.19   1.35  19          
   226 WH J000602.6+024659     1.51078    2.78309  1.6674 23.897 19.171   7.54 0.445  21.98   1.00   6          
   227 WH J000604.1+023140     1.51688    2.52765  0.4548 18.799 18.123   5.01 0.516  17.92   0.82  11          
   228 WH J000604.5+014920     1.51881    1.82215  1.0909 21.578 18.652   6.33 0.539  27.94   1.25   9          
   229 WH J000604.6-000725     1.51918   -0.12357  0.3561 18.426 17.463   7.26 0.619  23.45   1.06  14  WHL     
   230 WH J000610.3+011526     1.54277    1.25736  0.2902 18.308 17.605   5.72 0.594  18.42   0.84  15  WHL     
   231 WH J000612.8+003817     1.55349    0.63816  0.5089 19.122 17.883   5.08 0.564  24.50   1.11  15          
   232 WH J000613.4+015034     1.55586    1.84273  0.4408 18.319 17.349   8.36 0.583  26.13   1.18  16  WHL     
   233 WH J000614.5+013601     1.56029    1.60020  1.0847 21.431 18.260   7.47 0.598  38.29   1.70  12          
   234 WH J000614.9+010814     1.56229    1.13735  0.5711 19.261 18.104   5.25 0.595  23.53   1.06  17  WHL     
   235 WH J000617.5+024310     1.57297    2.71938  0.2574 17.201 17.107   5.10 0.532  15.45   0.71  10          
   236 WH J000619.9+011754     1.58290    1.29838  0.9844 21.515 18.650   6.72 0.495  27.11   1.22  12          
   237 WH J000620.5+015805     1.58530    1.96804  1.1084 21.510 18.713   5.24 0.591  34.61   1.54  17          
   238 WH J000624.0+022632     1.59993    2.44231  0.8284 21.174 18.811   5.62 0.600  32.35   1.44  19          
   239 WH J000625.8+020436     1.60760    2.07671  1.1201 21.908 18.818   6.96 0.535  31.83   1.42  12          
   240 WH J000630.5+023740     1.62709    2.62782  0.8390 21.211 18.389  10.76 0.747  55.62   2.43  24          
   241 WH J000631.6+000158     1.63147    0.03264  0.9271 21.835 19.279   5.54 0.482  22.27   1.01  13          
   242 WH J000634.0+001806     1.64175    0.30171  0.7522 20.448 18.419   7.39 0.673  40.45   1.79  32          
   243 WH J000635.6-001902     1.64832   -0.31732  0.4147 19.025 18.015   5.85 0.570  20.25   0.92  14          
   244 WH J000637.0+013318     1.65428    1.55509  0.9162 20.901 18.945   5.69 0.519  22.36   1.01   9          
